"(2, 1)",268.22802734375,266.8951110839844,267.0777587890625,267.501220703125,267.90631103515625,267.40423583984375,267.3338317871094,267.3776550292969,267.0853271484375,266.0995788574219,,,,,267.18524169921875,263.60089111328125,263.20001220703125,263.8519287109375,265.0818786621094,266.0606689453125,265.9794006347656,266.2193603515625,266.8705139160156,267.2431945800781
"(2, 2)",,,,,,,,,,,270.1009216308594,271.71368408203125,272.6940002441406,272.4590759277344,271.40814208984375,269.8148193359375,268.1173095703125,266.8483581542969,266.47235107421875,264.63946533203125,263.9051513671875,263.953369140625,263.75714111328125,264.3485107421875
"(2, 3)",264.1126708984375,264.4093933105469,264.6737060546875,266.1315002441406,268.19866943359375,267.1968688964844,266.68988037109375,267.80902099609375,268.8574523925781,269.9422912597656,270.4067077636719,271.7873840332031,272.30975341796875,271.7824401855469,270.4024963378906,269.423095703125,268.2001037597656,267.58660888671875,267.3340148925781,266.77545166015625,266.8150634765625,267.5340881347656,268.0661926269531,268.6870422363281
"(2, 4)",269.69580078125,267.0094299316406,265.631591796875,260.9945373535156,,,264.65289306640625,268.3460388183594,269.2705078125,267.9054260253906,269.0932922363281,270.65301513671875,271.5224609375,270.46881103515625,269.8221435546875,269.0649108886719,267.52874755859375,266.67266845703125,265.78326416015625,265.2276916503906,264.48712158203125,263.582763671875,263.0893249511719,263.0176086425781
"(2, 5)",262.8519287109375,262.3502197265625,261.9351806640625,260.9949645996094,260.82470703125,261.5792541503906,261.2606506347656,261.98809814453125,262.4280090332031,263.5501708984375,265.0706787109375,266.3558349609375,267.781494140625,268.2812194824219,267.085693359375,266.8219299316406,265.7557373046875,266.04669189453125,266.5451965332031,267.4112243652344,268.0555725097656,268.6184997558594,268.19903564453125,267.8636474609375
"(2, 6)",267.3357238769531,267.49371337890625,267.5754089355469,267.6061096191406,267.1082763671875,266.6606750488281,266.60345458984375,266.4310607910156,267.07452392578125,267.0007019042969,267.8565979003906,267.7578430175781,267.0700988769531,266.9626159667969,265.86126708984375,,,260.42437744140625,260.8216247558594,261.4738464355469,264.70550537109375,265.7371520996094,265.88775634765625,265.30584716796875
"(2, 7)",263.32366943359375,,260.5666198730469,259.5896911621094,,,,,,,,,,,,,,,,,,,,
"(2, 8)",,,263.4398193359375,264.43389892578125,264.7336120605469,264.44085693359375,264.50653076171875,265.1047668457031,266.13232421875,267.7649841308594,269.6172790527344,271.4192199707031,271.91650390625,271.2366943359375,269.1604919433594,268.2299499511719,265.6596374511719,265.461181640625,265.32855224609375,265.4259338378906,265.4142761230469,265.293701171875,265.3265686035156,
"(2, 9)",,266.6454162597656,266.37646484375,265.4685974121094,265.51336669921875,265.3227844238281,264.550537109375,265.01348876953125,264.3682556152344,265.983642578125,268.103271484375,268.6337890625,270.21856689453125,270.0465087890625,,,,,,,,,,
"(2, 10)",,,,,,,,,,,,,,,,266.40106201171875,266.322265625,266.4603271484375,267.28521728515625,266.49249267578125,264.984375,264.5638122558594,264.48809814453125,264.2618408203125
"(2, 11)",263.9243469238281,261.8429260253906,261.119384765625,261.948486328125,261.59674072265625,261.7286682128906,260.6468200683594,258.62139892578125,257.0809020996094,256.8795471191406,258.34783935546875,259.2810363769531,260.3693542480469,260.81201171875,260.417724609375,259.3069152832031,257.84783935546875,257.0577087402344,256.6158447265625,256.576171875,256.4490966796875,256.2635498046875,256.1980895996094,256.1387939453125
